CED_Name,CED_Number,vote_yes,pop,females,first_nations_pop,born_overseas,completed_highschool,median_age,age_over_65,median_monthly_mortgage_repayment,median_income_personal,median_income_family,median_income_household,median_rent,avg_household_size,married,divorced,never_married,unemployment,bachelors_degree,postgrad_degree,christian,hinduism,islam,judaism,no_religion
Bendigo,CED204, 70.0 ,150431,77047,2191,13731,52379,41,28405,1400,604,1470,1188,250,2.4,57389,11965,41432,6,15057,3795,73880,583,499,92,57341
Bruce,CED205, 51.5 ,157011,77956,514,84691,78198,37,27270,1733,521,1461,1303,325,2.8,70304,8617,40743,8.8,22701,8759,67493,9560,12540,246,36374
Calwell,CED206, 60.5 ,165406,82835,929,64053,66302,35,19846,1600,486,1428,1331,320,3.1,68097,8982,44310,9,14216,3457,88041,3638,29320,27,22659
Casey,CED207, 63.8 ,142766,72559,1380,23775,52864,39,22636,1733,662,1731,1472,330,2.7,57853,10440,37724,4.6,12969,2804,68474,651,342,106,58682
Chisholm,CED208, 36.3 ,164433,84500,377,74980,96668,35,26333,2000,554,1832,1428,380,2.6,66051,8427,54804,8.5,32597,13466,69540,5978,3212,498,59757
Corangamite,CED209, 68.8 ,152740,77827,1194,19263,61881,40,28230,1625,651,1720,1388,300,2.5,64041,9756,38548,4.8,19107,4731,78323,826,843,69,57231
Corio,CED210, 70.1 ,149914,77125,1800,25763,52160,40,28193,1495,572,1458,1154,270,2.4,56054,11813,43100,7,13762,3164,80233,966,1877,71,49328
Deakin,CED211, 68.1 ,146767,76001,542,44379,72604,39,26294,1900,680,1895,1522,350,2.6,62617,9691,37488,5.8,24307,8259,70616,3163,1558,151,53192
Dunkley,CED212, 62.0 ,146381,75708,1272,30758,57674,41,27811,1700,653,1696,1325,301,2.5,55085,13015,40342,6.1,14653,3313,70496,689,525,253,58416
Flinders,CED213, 60.2 ,153498,78445,1462,23813,53404,45,35783,1700,611,1516,1224,297,2.4,64002,13150,36822,5,12709,2608,75647,268,255,160,60800
Gellibrand,CED214, 76.3 ,165873,83151,864,59421,81376,36,22380,1950,672,1841,1490,321,2.5,60701,10915,53902,7.9,26090,8789,72445,4647,8608,156,54121
Gippsland,CED215, 53.3 ,143033,72339,2783,16204,40986,44,31107,1300,545,1351,1058,210,2.3,57412,11697,36239,7.4,9777,1807,73426,473,400,50,50724
Goldstein,CED216, 79.9 ,147627,76996,245,43431,83171,42,26318,2400,857,2592,2018,421,2.6,63866,9105,37116,5,31732,11175,66321,2566,718,9981,51993
Gorton,CED217, 46.4 ,194692,98479,1554,69640,76940,33,17497,1700,611,1586,1475,301,3.1,76357,11316,50094,8.3,17819,4099,106846,5313,9432,63,39964
Higgins,CED218, 53.3 ,153942,80188,403,50115,99043,35,22521,2200,967,2572,1911,396,2.3,56201,8823,58857,5.5,41120,15259,64106,5051,1549,5802,57365
Holt,CED219, 76.6 ,199864,99939,1150,85932,80220,33,19411,1733,611,1540,1467,330,3.1,81704,11068,50025,8,17138,5161,93616,10040,18820,156,43918
Hotham,CED220, 49.2 ,151282,76814,392,64962,73789,38,24926,1950,588,1672,1435,356,2.7,63674,9464,40587,7,21775,7055,68852,4929,3734,4009,40223
Indi,CED221, 62.4 ,140183,71186,2248,13565,43740,44,29363,1300,604,1419,1126,225,2.3,57134,11422,34716,4.9,11184,2283,77049,595,283,70,46126
Isaacs,CED222, 62.8 ,158654,80861,792,53005,70398,38,23178,1800,681,1808,1504,340,2.7,63498,11562,42162,6.2,18775,5322,74084,3856,7580,555,48559
Jagajaga,CED223, 78.3 ,141301,72644,760,30664,71254,40,23317,2000,753,2131,1757,350,2.6,59520,8691,38011,5.3,24298,8782,69251,1578,2649,174,53093
Kooyong,CED224, 63.3 ,145399,75971,268,46384,90608,38,23820,2500,861,2598,2035,401,2.6,60078,6863,46177,5.7,36525,14979,66083,3725,1698,1138,53996
Lalor,CED225, 50.7 ,156965,79156,749,39393,66591,37,18779,1798,705,1922,1724,350,2.9,66057,9645,39775,5.4,17283,4800,75709,2868,3598,199,56289
La Trobe,CED226, 50.7 ,231979,115662,1879,96373,101399,32,18066,1733,677,1697,1600,320,3,96386,11537,56185,8.3,26977,12249,107025,19567,16768,114,53722
Mallee,CED227, 59.6 ,138592,69947,3820,12233,36969,44,29750,1083,548,1308,1015,185,2.3,56339,9763,34972,5.8,8677,1219,78361,521,1414,35,41914
Maribyrnong,CED228, 58.4 ,166417,84532,579,65684,79064,37,26054,1800,592,1630,1405,323,2.7,66180,10373,49835,7.9,23460,6839,88179,4409,5394,79,36745
McEwen,CED229, 58.6 ,210531,106345,2177,44049,80738,34,22451,1740,699,1784,1613,325,2.9,85385,12238,52122,5.9,18696,5110,112131,4953,6826,95,60488
McMillan,CED230, 64.4 ,167328,85928,1734,24533,51060,40,31466,1500,575,1427,1163,260,2.5,66195,12762,41640,6.4,11746,2516,85803,1060,902,72,60254
Melbourne,CED231, 63.1 ,208593,107465,819,92999,141894,30,16549,2000,747,2169,1484,415,2.1,50183,11677,119098,8.9,56383,22265,57378,5498,8461,679,95382
